article_id,cluster_id,span_id,span,text,label
506,2139,75,"[220, 220]",It,0
506,2139,76,"[230, 230]",It,0
853,3568,77,"[102, 105]",the pandemic,0
853,3568,78,"[246, 249]",the pandemic,0
961,4122,79,"[174, 176]",so many people,0
961,4122,80,"[180, 180]",their,0
961,4122,81,"[183, 183]",their,0
771,3212,82,"[197, 197]",Qatar,1
771,3212,83,"[224, 224]",their,0
771,3212,84,"[230, 230]",They,0
771,3212,85,"[261, 261]",them,0
771,3212,86,"[286, 286]",Qatar,1
302,1272,87,"[29, 29]",Barcelona,1
302,1272,88,"[52, 61]",the Spanish club where he has spent his entire career,0
808,3371,89,"[180, 195]","Ramon Beleno , a professor at the Ateneo University in Davao",1
808,3371,90,"[257, 258]",Beleno,0
1116,4934,91,"[14, 18]",COVID - 19,1
1116,4934,92,"[49, 53]",COVID - 19,1
115,360,93,"[251, 251]",tested,0
115,360,94,"[277, 278]",the tests,0
1095,4847,95,"[52, 57]",Geylang Lorong 31,1
1095,4847,96,"[94, 99]",Geylang Lorong 31,1
600,2421,97,"[34, 36]",The Straits Times,1
600,2421,98,"[343, 345]",ST ' s,0
600,2421,99,"[443, 443]",ST,0
600,2421,100,"[460, 460]",ST,0
1215,5438,101,"[221, 222]",Real Madrid,1
1215,5438,102,"[242, 244]",his new club,0
906,3870,103,"[108, 109]",the virus,0
906,3870,104,"[155, 156]",the virus,0
456,1945,105,"[19, 19]",Afghanistan,1
456,1945,106,"[46, 49]",the South Asian country,0
19,57,107,"[1, 16]",YANGON ( REUTERS ) - Myanmar ' s army,1
19,57,108,"[169, 170]",the army,0
19,57,109,"[260, 261]",the army,0
19,57,110,"[434, 435]",the army,0
916,3944,111,"[440, 440]",make,0
916,3944,112,"[447, 447]",This,0
1214,5426,113,"[31, 33]",the Premier League,0
1214,5426,114,"[44, 46]",the top flight,0
1214,5426,115,"[62, 64]",the highest level,0
1214,5426,116,"[92, 93]",Premier League,1
1214,5426,117,"[231, 232]",Premier League,1
1214,5426,118,"[252, 253]",Premier League,1
434,1910,119,"[150, 151]",a colleague,0
434,1910,120,"[163, 163]",you,0
434,1910,121,"[172, 172]",him,0
602,2440,122,"[346, 346]",our,0
602,2440,123,"[356, 356]",our,0
602,2440,124,"[363, 363]",us,0
1120,4945,125,"[54, 75]","Ningbo Meidong Container Terminal Corp , a subsidiary of Ningbo Zhoushan Port Company ,",1
1120,4945,126,"[133, 135]",Meidong firm,0
1120,4945,127,"[239, 263]","Meidong , where containers at China - Europe , China - Middle East and the ' OCEAN Alliance ' lines are handled",0
1079,4764,128,"[15, 17]",Singapore ’ s,0
1079,4764,129,"[221, 221]",Singapore,1
1286,5690,130,"[8, 10]",Lionel Messi,1
1286,5690,131,"[26, 26]",he,0
1286,5690,132,"[64, 65]",Messi,0
1286,5690,133,"[152, 153]",Messi,0
1286,5690,134,"[222, 228]",34 - year - old Messi,0
1286,5690,135,"[233, 233]",his,0
1286,5690,136,"[291, 293]",Leo Messi,0
1286,5690,137,"[299, 299]",his,0
1286,5690,138,"[308, 308]",he,0
1286,5690,139,"[334, 334]",him,0
1286,5690,140,"[341, 341]",he,0
1286,5690,141,"[346, 346]",his,0
1286,5690,142,"[349, 349]",he,0
1286,5690,143,"[355, 378]","Messi , who won 10 LaLiga and four Champions League titles during a 17 - year long stint at Barcelona ,",0
1286,5690,144,"[462, 464]",Leo Messi,0
726,2953,145,"[166, 166]",Indonesia,1
726,2953,146,"[207, 207]",Indonesia,1
376,1626,147,"[1, 28]","Hollywood star Johnny Depp , who lost a libel case last year against a British newspaper that labelled him a ' wife - beater '",0
376,1626,148,"[21, 21]",him,0
376,1626,149,"[55, 79]","The 58 - year - old , best known as the swaggering Jack Sparrow in the Pirates Of The Caribbean franchise",0
376,1626,150,"[101, 101]",his,0
376,1626,151,"[165, 167]",The US actor,0
376,1626,152,"[184, 184]",him,0
376,1626,153,"[193, 193]",his,0
376,1626,154,"[199, 199]",his,0
376,1626,155,"[215, 215]",him,0
376,1626,156,"[231, 232]",Depp,1
376,1626,157,"[269, 272]",the actor ' s,0
1034,4539,158,"[1, 2]",Both sisters,0
1034,4539,159,"[6, 6]",their,0
1034,4539,160,"[27, 27]",our,0
1034,4539,161,"[34, 34]",us,0
1034,4539,162,"[398, 398]",we,0
1034,4539,163,"[408, 408]",we,0
1034,4539,164,"[435, 436]",the sisters,0
1034,4539,165,"[451, 451]",their,0
804,3339,166,"[99, 100]",wither,0
804,3339,167,"[111, 111]",that,0
916,3943,168,"[397, 420]","greater self - esteem , a greater sense of meaning in life and an increased sense of personal control over life ’ s events",1
916,3943,169,"[425, 425]",these,0
1194,5309,170,"[41, 52]","Mr Jambu Nathan Kanagasabai , 64 ,",1
1194,5309,171,"[97, 97]",his,0
1194,5309,172,"[111, 112]",my father,0
1194,5309,173,"[117, 117]",he,0
1194,5309,174,"[131, 136]",Mr Jambu Nathan ' s,0
1194,5309,175,"[144, 147]",Mr Jambu Nathan,0
1194,5309,176,"[149, 149]",his,0
1194,5309,177,"[152, 152]",his,0
1194,5309,178,"[166, 166]",He,0
1194,5309,179,"[199, 199]",his,0
1194,5309,180,"[202, 202]",he,0
1194,5309,181,"[215, 215]",his,0
1194,5309,182,"[280, 280]",I,0
1194,5309,183,"[315, 318]",Mr Jambu Nathan,0
808,3373,184,"[261, 282]","Ogie Baluma , a 34 - year - old small - time merchant who lives in Davao",1
808,3373,185,"[289, 289]",him,0
808,3373,186,"[310, 310]",he,0
589,2355,187,"[309, 318]",the agency chief executive Yang Hyun - suk,1
589,2355,188,"[327, 327]",his,0
1214,5430,189,"[315, 318]",their style of football,1
1214,5430,190,"[326, 326]",it,0
1264,5591,191,"[53, 59]",strategies to help women achieve their aspirations,1
1264,5591,192,"[61, 61]",These,0
274,1105,193,"[205, 205]",helps,0
274,1105,194,"[208, 208]",that,0
483,2034,195,"[277, 277]",37,0
483,2034,196,"[285, 285]",these,0
865,3641,197,"[62, 65]",Zhang Xinmin,1
865,3641,198,"[70, 70]",he,0
902,3839,199,"[32, 33]",The region,0
902,3839,200,"[96, 99]",the region ’ s,0
902,3839,201,"[228, 229]",Southeast Asia,1
918,3954,202,"[116, 129]",The destruction of carbon sinks in forest and carbon - rich peatlands,0
918,3954,203,"[148, 148]",these,0
1166,5176,204,"[65, 72]",organs dissected from once living people,1
1166,5176,205,"[74, 75]",These organs,0
1166,5176,206,"[107, 111]",these human cadavers,0
1166,5175,207,"[41, 50]",the NUS Yong Loo Lin School of Medicine,1
1166,5175,208,"[52, 52]",their,0
666,2702,209,"[31, 31]",announced,0
666,2702,210,"[68, 69]",the announcement,0
203,728,211,"[11, 13]",the Tokyo Olympics,1
203,728,212,"[33, 34]",the Games,0
553,2264,213,"[8, 8]",I,0
553,2264,214,"[11, 11]",my,0
553,2264,215,"[14, 14]",my,0
553,2264,216,"[57, 57]",I,0
553,2264,217,"[67, 67]",I,0
553,2264,218,"[71, 71]",myself,0
553,2264,219,"[73, 73]",my,0
553,2264,220,"[86, 86]",My,0
1210,5401,221,"[46, 46]",striking,0
1210,5401,222,"[95, 96]",The incident,0
1210,5401,223,"[283, 288]",this act of cruelty to animals,0
362,1551,224,"[33, 40]",the cryptocurrency sector,1
362,1551,225,"[134, 137]",the industry ' s,0
303,1280,226,"[37, 38]",last season,0
303,1280,227,"[223, 224]",last season,0
270,1084,228,"[216, 216]",we,0
270,1084,229,"[239, 255]","SydWest Multicultural Services , which provides aged care and settlement services for refugees",0
270,1084,230,"[279, 282]",SydWest,1
988,4254,231,"[35, 39]",COVID - 19,1
988,4254,232,"[55, 59]",COVID - 19,1
576,2299,233,"[75, 77]",some car lovers,0
576,2299,234,"[95, 95]",their,0
576,2299,235,"[99, 99]",they,0
576,2299,236,"[113, 113]",their,0
587,2341,237,"[36, 40]",Friday ( Aug 13 ),1
587,2341,238,"[87, 87]",Friday,0
917,3951,239,"[382, 387]",my discus and shot put,1
917,3951,240,"[405, 406]",those skills,0
917,3951,241,"[410, 410]",they,0
1259,5577,242,"[25, 25]",Singapore,1
1259,5577,243,"[30, 30]",its,0
1215,5436,244,"[153, 171]","Richarlison , who was part of the Brazil squad that won gold at the Tokyo Olympics",1
1215,5436,245,"[196, 196]",his,0
455,1937,246,"[32, 33]",Biden,1
455,1937,247,"[60, 61]",Biden,1
455,1937,248,"[108, 109]",Biden,1
212,772,249,"[118, 123]",my eight - year - old,0
212,772,250,"[131, 131]",his,0
120,406,251,"[136, 136]",able,0
120,406,252,"[172, 173]",The move,0
171,614,253,"[342, 342]",be,0
171,614,254,"[359, 359]",that,0
0,1,255,"[23, 31]",the Registrar of Societies ( ROS ),1
0,1,256,"[63, 77]","The ROS , which regulates political parties and non - governmental organisations ,",0
0,1,257,"[136, 137]",ROS,0
0,1,258,"[305, 307]",The ROS,0
0,1,259,"[395, 398]",the registrar,0
1086,4804,260,"[215, 217]",HDB blocks,1
1086,4804,261,"[226, 226]",their,0
861,3617,262,"[42, 44]",your smartphone,1
861,3617,263,"[54, 54]",it,0
861,3617,264,"[88, 89]",your device,0
861,3617,265,"[97, 97]",it,0
861,3617,266,"[116, 116]",it,0
861,3617,267,"[120, 120]",it,0
914,3915,268,"[196, 208]",Centers for Disease Control and Prevention Director Dr Rochelle Walensky,1
914,3915,269,"[248, 248]",she,0
914,3915,270,"[301, 301]",her,0
914,3915,271,"[306, 308]",Walensky,0
951,4078,272,"[11, 12]",Hong Kong,1
951,4078,273,"[43, 44]",Hong Kong,1
743,3077,274,"[8, 9]",a phrase,0
743,3077,275,"[19, 19]",it,0
894,3797,276,"[308, 320]",the US Centers for Disease Control and Prevention ( US CDC ),1
894,3797,277,"[363, 366]",the US CDC,0
894,3797,278,"[371, 374]",The US CDC,0
894,3797,279,"[393, 395]",US CDC,0
383,1669,280,"[1, 3]",McDonald ’ s,1
383,1669,281,"[33, 37]",the fast - food chain,0
383,1669,282,"[54, 54]",its,0
383,1669,283,"[217, 219]",McDonald ’ s,1
383,1669,284,"[248, 250]",McDonald ’ s,1
383,1669,285,"[350, 352]",McDonald ’ s,1
1313,5798,286,"[32, 39]",Irritable Bowel Syndrome,1
1313,5798,287,"[83, 94]","Irritable Bowel Syndrome , or IBS",0
1313,5798,288,"[108, 108]",its,0
1313,5798,289,"[113, 113]",it,0
1313,5798,290,"[124, 125]",IBS,0
888,3763,291,"[164, 164]",we,0
888,3763,292,"[171, 171]",our,0
888,3763,293,"[182, 182]",our,0
1139,5064,294,"[148, 151]",the Ministry of Finance,1
1139,5064,295,"[156, 156]",they,0
1139,5064,296,"[170, 170]",their,0
861,3616,297,"[8, 8]",you,0
861,3616,298,"[37, 37]",you,0
861,3616,299,"[42, 42]",your,0
861,3616,300,"[50, 50]",you,0
861,3616,301,"[66, 66]",you,0
861,3616,302,"[76, 76]",you,0
1200,5337,303,"[37, 41]",its closure by Taliban insurgents,1
1200,5337,304,"[210, 211]",its closure,0
392,1717,305,"[188, 191]",The tea leaves used,0
392,1717,306,"[199, 199]",they,0
122,420,307,"[217, 221]",Actress Hannah Delisha,1
122,420,308,"[228, 228]",my,0
1261,5585,309,"[22, 27]",the Workers ’ Party ’ s,1
1261,5585,310,"[73, 74]",WP,0
1185,5239,311,"[29, 40]",an elderly coronavirus patient in urgent need of hospital care,0
1185,5239,312,"[46, 52]",the 86 - year - old woman,0
1185,5239,313,"[56, 56]",her,0
1185,5239,314,"[63, 63]",her,0
1330,5880,315,"[44, 53]",a new wave of COVID - 19 infections,1
1330,5880,316,"[95, 98]",the pandemic,0
1330,5880,317,"[110, 113]",the pandemic,0
266,1055,318,"[202, 202]",Sunday,1
266,1055,319,"[321, 321]",Sunday,1
1201,5342,320,"[8, 11]",Hong Kong ' s,0
1201,5342,321,"[36, 37]",the city,0
1201,5342,322,"[76, 77]",the city,0
1201,5342,323,"[103, 106]",Hong Kong ' s,0
1201,5342,324,"[143, 144]",Hong Kong,1
1201,5342,325,"[176, 177]",Hong Kong,1
1201,5342,326,"[203, 204]",The city,0
861,3621,327,"[205, 208]",your login details,1
861,3621,328,"[220, 220]",them,0
1157,5140,329,"[7, 13]",Kuik Swee Boon,1
1157,5140,330,"[18, 18]",he,0
1157,5140,331,"[86, 93]",the company ’ s founder and artistic director,0
1157,5140,332,"[96, 96]",he,0
1157,5140,333,"[141, 141]",he,0
1157,5140,334,"[176, 181]",the 48 - year - old,0
246,958,335,"[138, 141]",The US Forces Korea,1
246,958,336,"[147, 147]",its,0
604,2450,337,"[17, 18]",Aug 21,1
604,2450,338,"[61, 68]","Aug 21 , the day of the parade",0
604,2450,339,"[79, 80]",that day,0
604,2450,340,"[125, 126]",Aug 21,1
697,2813,341,"[318, 325]","Student Salsabilla , 23 ,",1
697,2813,342,"[333, 333]",she,0
697,2813,343,"[337, 337]",her,0
697,2813,344,"[344, 344]",I,0
697,2813,345,"[348, 348]",my,0
697,2813,346,"[356, 356]",she,0
697,2813,347,"[362, 362]",me,0
171,612,348,"[224, 224]",people,0
171,612,349,"[229, 229]",their,0
1090,4827,350,"[217, 221]",Vaccinated fans,0
1090,4827,351,"[240, 240]",they,0
1090,4827,352,"[242, 242]",their,0
639,2622,353,"[218, 219]",these books,1
639,2622,354,"[225, 225]",them,0
1329,5875,355,"[18, 18]",Arizona,1
1329,5875,356,"[61, 61]",Arizona,1
1329,5875,357,"[121, 121]",Arizona,1
200,719,358,"[41, 43]",Iran ' s,1
200,719,359,"[69, 71]",Iran ' s,1
200,719,360,"[113, 115]",Iran ' s,1
1032,4528,361,"[206, 229]","Patek Philippe , which designated three of its precious Dome Clocks ( of which only about 12 are made every year )",1
1032,4528,362,"[214, 214]",its,0
1215,5439,363,"[299, 305]",the return of fans to stadiums,0
1215,5439,364,"[313, 313]",It,0
1247,5530,365,"[112, 114]",Mr Gan,1
1247,5530,366,"[181, 185]",the Trade and Industry Minister,0
1247,5530,367,"[270, 270]",he,0
248,963,368,"[12, 14]",India ' s,1
248,963,369,"[65, 67]",India ' s,1
1206,5388,370,"[381, 387]",the Greco - Roman middleweight gold,0
1206,5388,371,"[453, 455]",his gold medal,0
157,534,372,"[37, 44]",a fellow inmate ' s left ear,0
157,534,373,"[79, 80]",his ear,0
157,534,374,"[318, 323]",the victim ' s left ear,0
470,1985,375,"[75, 77]",CloseUp,1
470,1985,376,"[81, 93]","CloseUp , a new investigative video series by The Straits Times",0
470,1985,377,"[109, 109]",It,0
625,2548,378,"[69, 75]",its factory at 30 Senoko Drive,1
625,2548,379,"[130, 133]",the newly renovated factory,0
233,891,380,"[88, 90]",the current outbreak,0
233,891,381,"[149, 150]",The outbreak,0
483,2036,382,"[403, 408]",Covid - 19 vaccines,1
483,2036,383,"[501, 503]",the vaccines,0
798,3301,384,"[82, 83]",the world,0
798,3301,385,"[118, 119]",the world,0
798,3301,386,"[150, 151]",the world,0
798,3301,387,"[271, 272]",the world,0
900,3825,388,"[22, 26]",COVID - 19,1
900,3825,389,"[51, 54]",the pandemic,0
900,3825,390,"[463, 468]",the pandemic ’ s,0
137,496,391,"[41, 46]",Monday ( Aug 9 ) morning,0
137,496,392,"[201, 203]",Monday ' s,0
137,496,393,"[201, 204]",Monday ' s typhoon,0
511,2160,394,"[86, 86]",are,0
511,2160,395,"[107, 107]",This,0
900,3829,396,"[383, 389]",The Malaysian government ’ s relief packages,1
900,3829,397,"[406, 407]",the package,0
1253,5556,398,"[167, 180]",Mr Seah Kian Peng ( PAP - Marine Parade ),1
1253,5556,399,"[202, 202]",he,0
1253,5556,400,"[220, 220]",me,0
1253,5556,401,"[223, 223]",I,0
1253,5556,402,"[230, 232]",Mr Seah,0
1253,5556,403,"[234, 234]",his,0
1253,5556,404,"[239, 239]",he,0
1253,5556,405,"[271, 271]",I,0
1253,5556,406,"[278, 278]",he,0
170,607,407,"[37, 44]",the 19th - century landmark ’ s arms,1
170,607,408,"[275, 279]",the bridge ’ s arms,0
1213,5419,409,"[45, 50]",captain Siya Kolisi,1
1213,5419,410,"[216, 216]",he,0
1213,5419,411,"[437, 440]",the South Africa captain,0
915,3922,412,"[175, 179]",A huge number of people,0
915,3922,413,"[184, 184]",themselves,0
643,2645,414,"[49, 51]",Chinese tech companies,1
643,2645,415,"[55, 57]",the firms ',0
643,2645,416,"[60, 60]",their,0
643,2645,417,"[72, 72]",them,0
643,2645,418,"[149, 152]",the Chinese firms ',0
1255,5574,419,"[32, 34]",a Facebook post,0
1255,5574,420,"[281, 285]",Sunday ' s Facebook post,0
747,3089,421,"[44, 44]",signed,0
747,3089,422,"[68, 69]",the deal,0
520,2194,423,"[1, 4]",Entangled Life,1
520,2194,424,"[268, 269]",the book,0
520,2194,425,"[346, 347]",his book,0
520,2194,426,"[401, 401]",its,0
520,2194,427,"[413, 416]",Entangled Life,1
520,2194,428,"[424, 424]",its,0
520,2194,429,"[481, 482]",the book,0
946,4062,430,"[7, 11]",COVID - 19,1
946,4062,431,"[22, 26]",COVID - 19,1
946,4062,432,"[54, 55]",the virus,0
312,1334,433,"[8, 12]",spin bowler Todd Astle,0
312,1334,434,"[69, 70]",Astle,0
312,1334,435,"[386, 388]",Todd Astle,1
1163,5165,436,"[11, 11]",offenders,1
1163,5165,437,"[29, 31]",these probationers,0
1163,5165,438,"[43, 44]",these youths,0
1163,5165,439,"[56, 56]",them,0
1212,5410,440,"[33, 39]",the opening league game against Leeds United,1
1212,5410,441,"[208, 209]",the game,0
794,3270,442,"[211, 212]",One victim,0
794,3270,443,"[221, 221]",she,0
794,3270,444,"[225, 225]",she,0
794,3270,445,"[239, 239]",her,0
1288,5702,446,"[10, 11]",the other,0
1288,5702,447,"[14, 14]",her,0
1205,5374,448,"[402, 404]",a bigger challenge,1
1205,5374,449,"[408, 408]",it,0
1205,5374,450,"[426, 426]",It,0
1205,5374,451,"[444, 444]",It,0
392,1716,452,"[63, 76]","Singaporean tea enthusiast Yen Seng Lim , 33",1
392,1716,453,"[89, 89]",Lim,0
392,1716,454,"[114, 114]",he,0
392,1716,455,"[140, 140]",Lim,0
392,1716,456,"[158, 158]",he,0
392,1716,457,"[233, 233]",I,0
392,1716,458,"[235, 235]",I,0
392,1716,459,"[248, 248]",he,0
392,1716,460,"[253, 253]",his,0
392,1716,461,"[404, 404]",Lim,0
392,1716,462,"[471, 471]",Lim,0
392,1716,463,"[513, 513]",he,0
663,2698,464,"[32, 32]",legislation,1
663,2698,465,"[47, 47]",it,0
303,1278,466,"[144, 154]",The success we ' ve had in the last four years,1
303,1278,467,"[164, 164]",it,0
719,2919,468,"[314, 316]",Carbon offsets,1
719,2919,469,"[319, 319]",they,0
284,1139,470,"[9, 9]",France,1
284,1139,471,"[25, 25]",France,1
1071,4727,472,"[176, 177]",drugmakers,1
1071,4727,473,"[179, 179]",their,0
1102,4868,474,"[7, 10]",Berda Asmara,1
1102,4868,475,"[17, 17]",she,0
1102,4868,476,"[20, 20]",her,0
1102,4868,477,"[57, 57]",her,0
1102,4868,478,"[80, 85]",the 33 - year - old,0
1102,4868,479,"[87, 87]",her,0
741,3069,480,"[34, 34]",Tokyo,1
741,3069,481,"[310, 310]",Tokyo,1
1038,4579,482,"[129, 130]",the basement,0
1038,4579,483,"[160, 161]",the basement,0
873,3676,484,"[32, 33]",United Nations,1
873,3676,485,"[132, 132]",UN,0
873,3676,486,"[236, 236]",UN,0
81,272,487,"[95, 95]",Monday,1
81,272,488,"[451, 451]",Monday,1
324,1381,489,"[20, 21]",many Indians,1
324,1381,490,"[23, 23]",their,0
1259,5578,491,"[87, 101]",Senior Minister of State for Sustainability and the Environment Amy Khor,1
1259,5578,492,"[141, 141]",she,0
383,1671,493,"[1, 5]",McDonald ’ s latest offering,0
383,1671,494,"[61, 69]",The Crispy Hainanese Chicken Burger,1
383,1671,495,"[103, 103]",it,0
383,1671,496,"[108, 112]",The limited edition burger,0
383,1671,497,"[143, 143]",it,0
383,1671,498,"[160, 162]",their burger,0
383,1671,499,"[176, 184]",the Crispy Hainanese Chicken Burger,0
383,1671,500,"[223, 225]",the burger,0
383,1671,501,"[256, 257]",the dish,0
383,1671,502,"[282, 290]",the Crispy Hainanese Chicken Burger,0
71,185,503,"[10, 12]",their first child,0
71,185,504,"[23, 25]",the baby girl,0
71,185,505,"[35, 36]",Diane Liu,1
71,185,506,"[68, 69]",baby Diane,0
71,185,507,"[117, 119]",her first child,0
71,185,508,"[169, 169]",it,0
71,185,509,"[201, 201]",baby,0
71,185,510,"[243, 244]",their daughter,0
71,185,511,"[279, 279]",Diane,0
71,185,512,"[294, 294]",she,0
71,185,513,"[323, 323]",Diane,0
71,185,514,"[327, 327]",her,0
71,185,515,"[332, 332]",her,0
719,2921,516,"[188, 195]",climate change editor David Fogarty,0
719,2921,517,"[330, 334]",David Fogarty,1
719,2921,518,"[406, 410]",David Fogarty,1
719,2921,519,"[415, 415]",his,0
567,2287,520,"[43, 43]",Japan,1
567,2287,521,"[124, 124]",Japan,1
973,4177,522,"[95, 96]",the third,0
973,4177,523,"[114, 114]",his,0
741,3070,524,"[120, 123]",the military ' s,0
741,3070,525,"[314, 316]",the junta,1
564,2273,526,"[11, 11]",Beijing,1
564,2273,527,"[65, 65]",Beijing,1
564,2273,528,"[116, 116]",China,0
567,2285,529,"[4, 4]",they,0
567,2285,530,"[9, 11]",the Tokyo Olympics,1
567,2285,531,"[81, 82]",the event,0
567,2285,532,"[106, 107]",the Games,0
270,1078,533,"[31, 35]",Australia ' s largest city,1
270,1078,534,"[39, 39]",its,0
270,1078,535,"[57, 57]",its,0
270,1078,536,"[69, 69]",its,0
270,1078,537,"[102, 109]",the whole East Coast city of 5 million,0
270,1078,538,"[121, 121]",its,0
270,1078,539,"[163, 164]",the city,0
226,846,540,"[29, 31]",an abandoned building,0
226,846,541,"[102, 103]",the building,0
958,4108,542,"[378, 393]",the National Commission on Violence Against Women ( Komnas Perempuan ),0
958,4108,543,"[403, 405]",HRW,0
958,4108,544,"[436, 438]",HRW,0
578,2315,545,"[128, 135]",Singapore ' s overcrowded sidewalks,1
578,2315,546,"[149, 149]",them,0
1250,5540,547,"[68, 92]","secret society member Chua Hung Pheng , also known as “ Gia Kiang ” or “ the centipede ”",0
1250,5540,548,"[94, 97]",Gia Kiang,1
1250,5540,549,"[123, 126]",Gia Kiang,1
1250,5540,550,"[138, 141]",Gia Kiang,1
1250,5540,551,"[267, 270]",Gia Kiang,1
1250,5540,552,"[473, 489]",Gia Kiang whom I had arrested several years ago and was imprisoned for six years,0
376,1629,553,"[45, 46]",organisers,1
376,1629,554,"[105, 105]",they,0
761,3180,555,"[75, 80]",the Republic ' s paddlers,1
761,3180,556,"[87, 87]",They,0
856,3595,557,"[90, 98]",Ether used on the Ethereum network,0
856,3595,558,"[199, 201]",Ethereum,1
997,4309,559,"[23, 31]",' unprecedented ' levels of torrential rain,0
997,4309,560,"[50, 53]",The downpours,0
997,4309,561,"[209, 209]",This,0
1287,5701,562,"[53, 69]",Tampines secondary school students Alexander Chua and Pratibha Naidu,1
1287,5701,563,"[72, 72]",their,0
389,1706,564,"[109, 110]",the planet,0
389,1706,565,"[121, 122]",the world,0
389,1706,566,"[145, 146]",this planet,0
389,1706,567,"[260, 261]",the globe,0
181,662,568,"[87, 103]",its wholly - owned subsidiary Temasek Financial I ( TFin - I ),0
181,662,569,"[143, 147]",TFin - I,1
181,662,570,"[304, 308]",TFin - I,1
181,662,571,"[322, 322]",it,0
854,3575,572,"[114, 117]",US $ 140 billion,0
854,3575,573,"[119, 119]",That,0
606,2467,574,"[262, 265]",June 28 last year,1
606,2467,575,"[309, 310]",June 28,0
1034,4540,576,"[6, 9]",their father ’ s,0
1034,4540,577,"[27, 28]",our father,0
1034,4540,578,"[42, 42]",he,0
1034,4540,579,"[48, 48]",his,0
1034,4540,580,"[76, 76]",him,0
1034,4540,581,"[320, 323]",the boss ' s,0
1034,4540,582,"[451, 457]","their father , who is still CEO",0
1034,4540,583,"[470, 470]",He,0
1034,4540,584,"[481, 481]",he,0
1034,4540,585,"[486, 486]",his,0
1034,4540,586,"[502, 502]",he,0
689,2783,587,"[9, 18]",Leader of the Opposition Pritam Singh ’ s,1
689,2783,588,"[29, 29]",him,0
235,910,589,"[18, 22]",populous Java and Bali islands,0
235,910,590,"[81, 83]",Java and Bali,1
235,910,591,"[136, 138]",Java and Bali,1
